'Active'	'Destination Name'	'Carrier Prefix'	'Dial Prefix'	'Full Prefix'	'Exact Match'	'Group'	'Net Price'	'VAT Tax'	'Final Price'	'Currency'	'Initial Increment'	'Regular Increment'	'Grace Period'	'Termination'
'T'	'Germany - Mobiles'	'00'	'4915'	'004915'	'F'		0,4	0	0,4	'USD'	60	60	0	'F'
'T'	'Germany - Mobiles'	'00'	'4916'	'004916'	'F'		0,4	0	0,4	'USD'	60	60	0	'F'
'T'	'Germany - Mobiles'	'00'	'4917'	'004917'	'F'		0,4	0	0,4	'USD'	60	60	0	'F'
'T'	'Germany - Mobiles'	'00'	'49700'	'0049700'	'F'		0,4	0	0,4	'USD'	60	60	0	'F'
'T'	'Germany - Mobiles'	'00'	'49701'	'0049701'	'F'		0,4	0	0,4	'USD'	60	60	0	'F'
'F'	'Germany - Special'	'00'	'49180'	'0049180'	'F'		15	0	15	'USD'	60	60	0	'F'
'F'	'Germany - Special'	'00'	'49800'	'0049800'	'F'		15	0	15	'USD'	60	60	0	'F'
'T'	'Poland'	'00'	'481'	'00481'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Poland'	'00'	'4819'	'004819'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'T'	'Poland'	'00'	'482'	'00482'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Poland'	'00'	'4820'	'004820'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Poland'	'00'	'4821'	'004821'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Poland'	'00'	'4826'	'004826'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Poland'	'00'	'4827'	'004827'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Poland'	'00'	'4828'	'004828'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'T'	'Poland'	'00'	'4832'	'004832'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'T'	'Poland'	'00'	'4833'	'004833'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'T'	'Poland'	'00'	'4834'	'004834'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'T'	'Poland'	'00'	'484'	'00484'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Poland'	'00'	'4840'	'004840'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Poland'	'00'	'4845'	'004845'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Poland'	'00'	'4847'	'004847'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Poland'	'00'	'4849'	'004849'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'T'	'Poland'	'00'	'485'	'00485'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Poland'	'00'	'4853'	'004853'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Poland'	'00'	'4857'	'004857'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'T'	'Poland'	'00'	'486'	'00486'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Poland'	'00'	'4864'	'004864'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Poland'	'00'	'4866'	'004866'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'T'	'Poland'	'00'	'487'	'00487'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Poland'	'00'	'4873'	'004873'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'T'	'Poland'	'00'	'488'	'00488'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Poland'	'00'	'4888'	'004888'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'T'	'Poland'	'00'	'4891'	'004891'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'T'	'Poland'	'00'	'4894'	'004894'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'T'	'Poland'	'00'	'4895'	'004895'	'F'		0,05	0	0,05	'USD'	60	60	0	'F'
'F'	'Poland - Premium'	'00'	'4870'	'004870'	'F'		15	0	15	'USD'	60	60	0	'F'
'T'	'Poland - Mobiles'	'00'	'4850'	'004850'	'F'		0,25	0	0,25	'USD'	60	60	0	'F'
'T'	'Poland - Mobiles'	'00'	'4851'	'004851'	'F'		0,25	0	0,25	'USD'	60	60	0	'F'
'T'	'Poland - Mobiles'	'00'	'4860'	'004860'	'F'		0,25	0	0,25	'USD'	60	60	0	'F'
'T'	'Poland - Mobiles'	'00'	'4869'	'004869'	'F'		0,25	0	0,25	'USD'	60	60	0	'F'
'T'	'Poland - Mobiles'	'00'	'4890'	'004890'	'F'		0,25	0	0,25	'USD'	60	60	0	'F'
'F'	'Poland - Special'	'00'	'4810'	'004810'	'F'		15	0	15	'USD'	60	60	0	'F'
'F'	'Poland - Special'	'00'	'4811'	'004811'	'F'		15	0	15	'USD'	60	60	0	'F'
'F'	'Poland - Special'	'00'	'4880'	'004880'	'F'		15	0	15	'USD'	60	60	0	'F'
'F'	'Poland - UMTS'	'00'	'4878'	'004878'	'F'		15	0	15	'USD'	60	60	0	'F'
'F'	'Poland - UMTS'	'00'	'4879'	'004879'	'F'		15	0	15	'USD'	60	60	0	'F'
